TwitchToolkit - Log - Wednesday, January 3, 2024
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 1 coins, total 50
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 0.5 coins, total 25
keinnin gets 70 * 2.625 coins, total 184
meruemnm gets 50 * 1.25 coins, total 63
oankong0414 gets 50 * 1.25 coins, total 63
phan_tooms gets 50 * 0.5 coins, total 25
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 1.3125 coins, total 92
keinnin gets 70 * 1.3125 coins, total 92
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 0 coins, total 0
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
keinnin gets 70 * 2.625 coins, total 184
Purchase interest_: !buy pemmican 75 @ 11:22 PM
interest_'s karma went from 100 to 117
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.17 coins, total 59
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1 coins, total 50
Purchase kylebartaous2: !buy hay 150 @ 11:23 PM
kylebartaous2's karma went from 100 to 117
Purchase hopeful_destroyer: !buy hay 166 @ 11:24 PM
hopeful_destroyer's karma went from 250 to 250
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.17 coins, total 59
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.17 coins, total 59
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.17 coins, total 59
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.17 coins, total 59
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
Purchase interest_: !buy component 5 @ 11:31 PM
interest_'s karma went from 117 to 147
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.47 coins, total 74
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.47 coins, total 74
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.47 coins, total 74
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.47 coins, total 74
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.47 coins, total 74
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
Purchase hopeful_destroyer: !buy healanypawn @ 11:41 PM
hopeful_destroyer's karma went from 250 to 250
Purchase hopeful_destroyer: !buy healanypawn @ 11:42 PM
hopeful_destroyer's karma went from 250 to 250
Purchase interest_: !buy marbleblocks 200 @ 11:42 PM
interest_'s karma went from 147 to 176
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
Purchase professionmksman: !buy chemfuel 37 @ 11:47 PM
professionmksman's karma went from 100 to 117
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.17 coins, total 59
Purchase professionmksman: !buy chemfuel 15 @ 11:48 PM
professionmksman's karma went from 117 to 124
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.24 coins, total 63
Purchase professionmksman: !buy chemfuel 16 @ 11:49 PM
professionmksman's karma went from 124 to 132
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.32 coins, total 67
Purchase professionmksman: !buy chemfuel 16 @ 11:52 PM
professionmksman's karma went from 132 to 140
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 2.5 coins, total 125
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 1.17 coins, total 59
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 1.3125 coins, total 92
interest_ gets 50 * 1.76 coins, total 88
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 0.88 coins, total 44
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 0.88 coins, total 44
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
keinnin gets 70 * 2.625 coins, total 184
interest_ gets 50 * 0.88 coins, total 44
hopeful_destroyer gets 50 * 2.5 coins, total 125
oankong0414 gets 50 * 1.25 coins, total 63
kylebartaous2 gets 50 * 0.585 coins, total 30
professionmksman gets 50 * 1.4 coins, total 70
